weight,value
Wba11,0.6718301511374547
Wba12,0.7450165952107022
Wba13,-0.6170753997533334
Wba14,-0.19533410499573445
Wba15,0.8638006942429914
Wba16,0.5941275589901573
Wba21,-0.4764944004120706
Wba22,0.20403179596215093
Wba23,-0.1947867386698221
Wba24,0.20718030643344365
Wba25,0.8915188699310379
Wba26,0.6977228891092122
Wba31,-0.19640713680551092
Wba32,-0.34324671787303296
Wba33,-0.21838640130935105
Wba34,-0.073604502886643
Wba35,-0.29386754760937395
Wba36,-0.6107933801702001
Wba41,-0.258938999518902
Wba42,-0.1023327162052452
Wba43,0.6076680583286074
Wba44,-0.8200641621908802
Wba45,-0.5876037260530336
Wba46,0.09722549070400976
Wba51,-0.6281166698645546
Wba52,0.04561341485999937
Wba53,-0.7771064037817645
Wba54,0.07585689692517916
Wba55,0.3210082296144574
Wba56,-0.18892903587052712
Wba61,-0.9792256282942702
Wba62,-0.06928399091326853
Wba63,-0.8755121400484807
Wba64,-0.10677553097080339
Wba65,-0.9971594446384404
Wba66,-0.5664819376852193
Wba71,-0.3794387537191257
Wba72,0.405526613852623
Wba73,0.5808142721828653
Wba74,-0.8969167171019508
Wba75,0.08353597655385459
Wba76,0.21507485956045946
Wba81,-0.2602142131342309
Wba82,0.8127072524634109
Wba83,0.09153214161988887
Wba84,0.8508147942904172
Wba85,0.5910250941862123
Wba86,0.8141691018241448
